text,classification
tava dormindo bb tentei deixar cama arrumadinha hey vem faze chima p mim entau hugdyud to sofrenu aqui,pos
morreu moco latino americano,neg
boy ainda to acreditar morte belchior,neg
tt caitnao confio,neg
text,classification
oferecam,neg
partilhamos mesma tristeza xand,neg
cabelo o rostinho jeon amo o infinito alem,pos
acabei arrumar casa agora,pos
todo mundo indo pro role vou dormir q amanha vou trampa ,neg
amanha n aula,pos
so pitas q dao stalk enfim jk,neg
hora red canids red xdw dire wolves nada continua esquentando banco,neg
escuto vizinha assistindo faustao o coracao aperta saudade de casa porque o programa de todo domingo a familia,neg
mandem dm,neg
comeu tobias,pos
tanto sono,neg
mds nao aguento usar liga aparelho,neg
chatiadissimo nao vou conseguir ver vivo hoje,neg
nao respondes snap  pensar ja vou la responder ehe,neg
9 reais,pos
mano longe demais socorro,neg
normal ter namorada bata ponto sangrar e desmaiar,neg
sdds mil escola ta fazendo bom da vida querida,pos
vou ter mod volta ,neg
